Semaine;Chamonix (FR);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-22;42,00;22,00;9,00;9,00;2,00;12,00;5,00;14,00;13,00;2,00;9,00;11,00;3,00;23,10;4,20;10,50;8,40;0,00;8,00;6,00;0,00;8,00;4,00;1,00;17,00;13,00;3,00;3,00;1,00;2,00;4,00;1,00;0,00;5,00;2,00;1,00;1,00;0,00;0,00;0,00
2019-09-29;33,00;22,00;11,00;17,00;3,00;10,00;7,00;13,00;11,00;1,00;5,00;8,00;2,00;37,13;2,06;7,22;12,38;1,00;7,00;6,00;1,00;4,00;2,00;0,00;12,00;14,00;5,00;2,00;0,00;3,00;3,00;1,00;1,00;2,00;2,00;0,00;0,00;1,00;1,00;0,00
2019-10-06;40,00;23,00;13,00;11,00;7,00;6,00;5,00;16,00;22,00;4,00;2,00;17,00;2,00;31,58;2,11;11,58;11,58;0,00;9,00;5,00;1,00;3,00;5,00;0,00;12,00;15,00;7,00;7,00;0,00;3,00;5,00;3,00;0,00;2,00;2,00;1,00;0,00;0,00;1,00;0,00
2019-10-13;34,00;29,00;15,00;14,00;8,00;14,00;5,00;18,00;24,00;0,00;4,00;11,00;1,00;44,63;4,25;15,94;14,88;1,00;10,00;7,00;1,00;2,00;3,00;0,00;16,00;13,00;6,00;7,00;0,00;4,00;2,00;1,00;0,00;4,00;0,00;1,00;2,00;0,00;0,00;0,00
2019-10-20;39,00;31,00;11,00;16,00;4,00;11,00;8,00;24,00;14,00;3,00;1,00;7,00;2,00;36,95;2,05;18,47;8,21;1,00;7,00;5,00;2,00;7,00;3,00;1,00;20,00;18,00;5,00;7,00;0,00;2,00;2,00;0,00;0,00;5,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-10-27;37,00;23,00;12,00;14,00;4,00;9,00;10,00;18,00;25,00;2,00;3,00;6,00;1,00;40,08;2,06;10,28;7,19;2,00;7,00;7,00;1,00;4,00;5,00;0,00;13,00;15,00;4,00;3,00;1,00;1,00;3,00;1,00;0,00;5,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-11-03;48,00;31,00;15,00;9,00;6,00;15,00;8,00;27,00;21,00;2,00;7,00;14,00;1,00;45,91;3,13;24,00;11,48;0,00;13,00;7,00;1,00;9,00;5,00;0,00;21,00;11,00;5,00;6,00;1,00;1,00;3,00;2,00;0,00;4,00;2,00;1,00;1,00;0,00;1,00;0,00
2019-11-10;38,00;33,00;19,00;16,00;5,00;16,00;9,00;25,00;23,00;2,00;7,00;14,00;2,00;33,78;3,17;16,89;16,89;0,00;12,00;5,00;2,00;3,00;1,00;0,00;21,00;17,00;7,00;6,00;0,00;2,00;3,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;42,00;31,00;11,00;10,00;4,00;13,00;9,00;23,00;20,00;3,00;5,00;19,00;4,00;53,55;3,15;13,65;14,70;1,00;12,00;5,00;2,00;3,00;9,00;1,00;21,00;17,00;5,00;7,00;1,00;1,00;3,00;0,00;1,00;4,00;1,00;1,00;0,00;0,00;1,00;0,00
2019-11-24;34,00;23,00;20,00;14,00;8,00;13,00;8,00;18,00;28,00;1,00;4,00;10,00;3,00;39,15;1,03;22,67;13,39;0,00;9,00;4,00;2,00;1,00;5,00;1,00;21,00;14,00;2,00;5,00;0,00;2,00;5,00;3,00;1,00;2,00;0,00;1,00;1,00;1,00;0,00;0,00
2019-12-01;43,00;34,00;24,00;24,00;11,00;13,00;8,00;25,00;26,00;3,00;6,00;18,00;2,00;46,07;4,10;17,40;16,38;1,00;13,00;2,00;0,00;4,00;6,00;0,00;17,00;23,00;7,00;8,00;0,00;3,00;3,00;1,00;1,00;5,00;1,00;2,00;1,00;0,00;0,00;0,00
2019-12-08;40,00;45,00;21,00;21,00;6,00;18,00;13,00;25,00;27,00;2,00;6,00;16,00;2,00;54,74;2,11;20,00;23,16;2,00;11,00;5,00;1,00;7,00;7,00;1,00;25,00;25,00;5,00;6,00;1,00;4,00;5,00;1,00;1,00;6,00;2,00;2,00;1,00;0,00;0,00;0,00
2019-12-15;72,00;31,00;24,00;21,00;6,00;21,00;11,00;27,00;25,00;4,00;7,00;21,00;0,00;56,35;3,13;19,83;16,70;1,00;14,00;8,00;1,00;4,00;6,00;0,00;27,00;19,00;5,00;8,00;1,00;2,00;6,00;1,00;0,00;6,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-12-22;64,00;41,00;31,00;23,00;10,00;23,00;10,00;32,00;22,00;6,00;16,00;29,00;3,00;62,97;6,19;65,03;26,84;3,00;22,00;10,00;1,00;9,00;9,00;0,00;35,00;32,00;7,00;9,00;1,00;4,00;8,00;1,00;1,00;9,00;4,00;1,00;1,00;0,00;1,00;1,00
2019-12-29;77,00;61,00;28,00;25,00;11,00;39,00;18,00;38,00;30,00;4,00;9,00;29,00;2,00;87,41;8,32;19,77;26,01;4,00;19,00;7,00;1,00;8,00;13,00;0,00;38,00;29,00;18,00;9,00;1,00;3,00;6,00;1,00;1,00;11,00;4,00;1,00;0,00;0,00;0,00;0,00
2020-01-05;80,00;61,00;30,00;33,00;10,00;33,00;17,00;34,00;36,00;8,00;11,00;28,00;4,00;100,00;7,37;21,05;40,00;1,00;22,00;9,00;3,00;9,00;13,00;1,00;45,00;30,00;16,00;13,00;0,00;1,00;5,00;1,00;2,00;15,00;2,00;1,00;1,00;0,00;1,00;0,00
