Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-10-13;7,00;0,00;15,00;0,00;0,00;15,00;0,00;7,00;0,00;0,00;0,00;7,00;23,33;0,00;0,00;0,00;7,00;0,00;0,00;67,67;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-10-20;14,00;0,00;7,00;14,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;51,33;0,00;7,00;14,00;21,00;0,00;0,00;58,33;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;21,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;50,00;7,00;0,00;29,00;14,00;0,00;0,00;0,00;0,00;0,00;6,82;6,82;29,55;7,00;0,00;0,00;0,00;13,04;0,00;50,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;42,00;0,00;14,00;7,00;0,00;7,00;0,00;0,00;0,00;6,63;0,00;6,63;35,37;0,00;0,00;7,00;7,00;0,00;0,00;61,89;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;50,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;6,82;13,64;6,82;0,00;0,00;35,00;7,00;0,00;0,00;79,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;35,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;6,56;6,56;41,56;0,00;0,00;0,00;7,00;6,56;0,00;70,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;14,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;57,00;0,00;7,00;14,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;57,00;7,00;0,00;7,00;0,00;0,00;0,00;105,23;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;29,00;0,00;0,00;14,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;6,69;64,69;7,00;0,00;14,00;0,00;0,00;0,00;122,69;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;44,00;22,00;0,00;22,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;22,00;0,00;7,00;0,00;7,00;0,00;6,60;0,00;110,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;7,00;15,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;44,00;7,00;0,00;15,00;0,00;22,00;0,00;7,00;0,00;0,00;0,00;15,40;22,00;0,00;0,00;7,00;0,00;15,40;0,00;145,20;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;100,00;17,00;0,00;17,00;25,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;68,18;0,00;0,00;25,00;0,00;0,00;0,00;151,11;0,00;0,00;8,00;0,00;25,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;17,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;79,00;16,00;8,00;24,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;9,03;24,83;8,00;0,00;32,00;8,00;15,36;0,00;219,44;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;8,00;8,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;29,00;7,00;22,00;7,00;0,00;7,00;0,00;0,00;7,00;13,38;6,69;0,00;22,31;0,00;7,00;7,00;7,00;0,00;0,00;80,31;0,00;0,00;0,00;0,00;14,00;7,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;46,00;0,00;0,00;7,00;7,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;32,86;20,00;7,00;0,00;0,00;6,57;0,00;85,43;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;7,00;13,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;68,00;14,00;27,00;41,00;0,00;0,00;0,00;0,00;0,00;6,80;0,00;13,60;27,20;0,00;0,00;0,00;0,00;0,00;0,00;94,32;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;40,00;7,00;0,00;20,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;6,67;20,00;0,00;0,00;7,00;7,00;0,00;0,00;66,67;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;7,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;27,00;20,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;33,75;7,00;0,00;0,00;0,00;0,00;6,75;87,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;41,00;7,00;7,00;27,00;14,00;0,00;0,00;0,00;0,00;6,83;0,00;0,00;13,67;0,00;0,00;7,00;7,00;0,00;0,00;127,32;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;48,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;76,00;0,00;0,00;0,00;7,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;20,12;0,00;0,00;0,00;14,00;0,00;0,00;49,18;0,00;0,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;57,00;13,00;6,00;13,00;0,00;6,00;0,00;0,00;0,00;0,00;6,84;6,84;25,08;19,00;0,00;13,00;0,00;0,00;0,00;67,96;0,00;0,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;38,00;0,00;0,00;6,00;19,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,71;0,00;0,00;0,00;13,00;0,00;0,00;64,82;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;25,00;6,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;25,00;12,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,82;0,00;0,00;6,00;0,00;0,00;0,00;25,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;0,00;6,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;23,00;6,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,40;0,00;0,00;0,00;0,00;0,00;0,00;18,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;12,00;0,00;6,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,20;0,00;0,00;0,00;12,00;0,00;0,00;19,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
