Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-15;46,00;7,32;0,00;0,00;7,32;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;38,00;0,00;11,61;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;19,00;8,00;8,00;11,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;11,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-09-29;42,00;4,20;0,00;0,00;4,20;0,00;0,00;8,00;8,00;0,00;0,00;8,00;4,00;8,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;65,00;4,19;0,00;0,00;18,87;0,00;0,00;4,00;0,00;0,00;0,00;12,00;0,00;4,00;19,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;38,00;4,22;4,22;0,00;7,39;4,00;4,00;0,00;4,00;0,00;0,00;15,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;58,00;0,00;3,16;0,00;25,31;0,00;4,00;0,00;0,00;0,00;0,00;29,00;4,00;4,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;33,00;0,00;0,00;0,00;7,45;7,00;0,00;0,00;0,00;7,00;0,00;11,00;0,00;15,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;47,00;3,13;3,13;0,00;25,07;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;14,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;66,00;3,19;0,00;0,00;37,26;7,00;4,00;0,00;0,00;7,00;4,00;18,00;0,00;7,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;40,00;0,00;3,16;0,00;29,47;7,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;7,00;15,00;4,00;4,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;43,00;10,49;0,00;0,00;14,68;4,00;4,00;7,00;4,00;11,00;0,00;18,00;0,00;11,00;0,00;7,00;18,00;11,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;11,00;0,00;0,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
