Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2021-04-04;5,00;4,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;2,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;7,00;5,00;0,00;4,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;14,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;7,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;13,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;2,00;2,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-05-16;14,00;7,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;9,00;11,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;17,00;10,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00;2,00;2,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;25,00;2,00;6,00;4,00;4,00;0,00;0,00;2,00;0,00;2,00;2,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;19,00;4,00;7,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-20;17,00;6,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;29,00;16,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;9,00;9,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;34,00;24,00;2,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;13,00;17,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-07-11;42,00;10,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;20,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2021-07-18;36,00;10,00;0,00;8,00;2,00;2,00;0,00;0,00;0,00;2,00;8,00;25,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
