Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-03-01;55,00;9,17;4,58;20,63;2,29;0,00;0,00;2,00;0,00;2,00;8,00;2,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
2020-03-08;35,00;7,00;4,67;11,67;2,33;0,00;0,00;2,00;0,00;3,00;3,00;9,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;2,00
2020-03-15;22,00;12,22;4,89;22,00;2,44;1,00;0,00;1,00;0,00;0,00;5,00;3,00;1,00;1,00;4,00;1,00;2,00;0,00;0,00;0,00;1,00
2020-03-22;13,00;4,33;4,33;10,83;2,17;0,00;0,00;0,00;0,00;1,00;4,00;7,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-03-29;19,00;9,50;2,38;9,50;4,75;1,00;0,00;3,00;0,00;1,00;7,00;7,00;0,00;1,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00
2020-04-05;14,00;4,67;2,33;11,67;2,33;0,00;0,00;3,00;0,00;0,00;6,00;3,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2020-04-12;10,00;2,50;2,50;10,00;2,50;1,00;1,00;0,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;3,00;0,00
2020-04-19;13,00;10,83;2,17;8,67;0,00;0,00;0,00;1,00;0,00;4,00;1,00;3,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2020-04-26;28,00;11,67;2,33;11,67;4,67;0,00;0,00;1,00;0,00;0,00;9,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00
2020-05-03;17,00;8,50;2,13;17,00;2,13;0,00;0,00;1,00;0,00;0,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00
2020-05-10;9,00;9,00;0,00;13,50;2,25;0,00;0,00;0,00;0,00;3,00;4,00;4,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-05-17;24,00;6,55;2,18;10,91;4,36;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;15,00;10,71;0,00;15,00;2,14;0,00;0,00;3,00;0,00;1,00;5,00;6,00;1,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-05-31;24,00;10,91;2,18;21,82;2,18;0,00;0,00;0,00;1,00;1,00;6,00;6,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-06-07;22,00;11,00;2,20;15,40;2,20;1,00;0,00;1,00;0,00;3,00;6,00;7,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2020-06-14;39,00;6,88;4,59;32,12;2,29;0,00;2,00;0,00;3,00;0,00;3,00;9,00;2,00;0,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00
2020-06-21;35,00;9,33;2,33;46,67;2,33;0,00;0,00;5,00;2,00;3,00;8,00;6,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;28,00;11,67;2,33;53,67;2,33;0,00;0,00;0,00;0,00;0,00;10,00;7,00;0,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;24,00;6,55;0,00;24,00;2,18;0,00;0,00;2,00;3,00;8,00;3,00;6,00;0,00;0,00;3,00;2,00;3,00;0,00;0,00;0,00;2,00
2020-07-12;25,00;9,09;0,00;29,55;2,27;2,00;0,00;3,00;2,00;0,00;5,00;5,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00
2020-07-19;17,00;7,29;2,43;31,57;2,43;3,00;0,00;0,00;2,00;0,00;10,00;9,00;0,00;0,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;32,00;11,43;4,57;29,71;2,29;0,00;0,00;2,00;0,00;2,00;10,00;9,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2020-08-02;20,00;15,56;2,22;26,67;0,00;0,00;2,00;0,00;3,00;0,00;10,00;3,00;0,00;0,00;3,00;2,00;2,00;0,00;0,00;0,00;0,00
2020-08-09;34,00;9,07;0,00;24,93;2,27;0,00;0,00;0,00;2,00;5,00;8,00;7,00;0,00;0,00;7,00;2,00;2,00;0,00;0,00;0,00;0,00
2020-08-16;28,00;11,67;2,33;42,00;2,33;0,00;0,00;2,00;2,00;5,00;8,00;8,00;0,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;2,00
2020-08-23;22,00;4,40;6,60;24,20;19,80;2,00;0,00;3,00;2,00;0,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;20,00;8,89;0,00;15,56;6,67;2,00;0,00;0,00;0,00;0,00;5,00;8,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00
2020-09-06;33,00;7,07;2,36;4,71;0,00;0,00;0,00;2,00;3,00;0,00;5,00;2,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;23,00;6,90;4,60;13,80;2,30;0,00;0,00;0,00;0,00;3,00;3,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00
