Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-06-21;18,00;6,00;6,00;0,00;0,00;0,00;6,00;61,00;0,00;0,00;12,00;0,00;0,00;0,00;12,38;6,75;12,38;0,00;0,00;6,00;6,00
2020-06-28;43,00;12,00;0,00;0,00;0,00;0,00;6,00;25,00;0,00;0,00;0,00;0,00;6,00;0,00;12,13;18,74;0,00;0,00;6,00;0,00;6,00
2020-07-05;6,00;0,00;24,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,40;6,00;0,00;0,00;12,00;0,00
2020-07-12;12,00;25,00;0,00;0,00;19,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,55;38,18;6,55;0,00;6,00;49,00;0,00
2020-07-19;32,00;13,00;13,00;6,00;0,00;0,00;0,00;39,00;6,00;6,00;6,00;0,00;0,00;6,62;0,00;38,62;0,00;0,00;0,00;0,00;0,00
2020-07-26;38,00;19,00;13,00;0,00;0,00;0,00;6,00;33,00;0,00;0,00;0,00;0,00;19,00;6,51;0,00;13,03;0,00;0,00;6,00;0,00;0,00
2020-08-02;19,00;13,00;25,00;0,00;0,00;0,00;0,00;19,00;6,00;0,00;0,00;0,00;12,00;0,00;12,29;25,71;0,00;0,00;0,00;0,00;0,00
2020-08-09;25,00;13,00;19,00;13,00;6,00;0,00;0,00;19,00;6,00;0,00;0,00;0,00;0,00;0,00;13,04;6,52;0,00;0,00;0,00;19,00;6,00
2020-08-16;19,00;6,00;0,00;0,00;6,00;0,00;0,00;45,00;6,00;12,00;0,00;0,00;0,00;0,00;12,29;19,00;0,00;0,00;0,00;0,00;0,00
2020-08-23;31,00;6,00;12,00;6,00;0,00;0,00;0,00;13,00;0,00;12,00;6,00;0,00;25,00;0,00;12,18;19,93;0,00;0,00;0,00;0,00;6,00
2020-08-30;37,00;6,00;18,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,73;6,73;0,00;12,00;0,00;0,00
2020-09-06;12,00;6,00;0,00;0,00;12,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;6,55;6,55;12,00;0,00;0,00;0,00;6,00;0,00
2020-09-13;12,00;0,00;6,00;0,00;0,00;0,00;18,00;25,00;18,00;12,00;0,00;0,00;0,00;0,00;12,00;12,00;5,45;0,00;0,00;6,00;0,00
2020-09-20;24,00;12,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;6,00;0,00;12,00;6,55;0,00;0,00;12,00;6,00;0,00
2020-09-27;19,00;12,00;12,00;0,00;0,00;0,00;0,00;51,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;19,00;6,71;0,00;0,00;0,00;0,00
2020-10-04;6,00;0,00;0,00;0,00;6,00;0,00;0,00;33,00;0,00;6,00;0,00;0,00;12,00;0,00;0,00;29,00;0,00;0,00;6,00;6,00;0,00
2020-10-11;14,00;0,00;14,00;14,00;0,00;0,00;0,00;43,00;0,00;0,00;0,00;0,00;0,00;0,00;20,46;6,46;0,00;0,00;0,00;0,00;0,00
2020-10-18;27,00;20,00;7,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;7,00;0,00;6,48;27,00;0,00;0,00;7,00;7,00;0,00
2020-10-25;20,00;13,00;7,00;7,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;6,32;6,32;0,00;0,00;7,00;0,00;0,00
2020-11-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;12,00;0,00;5,00;22,00;12,00;0,00;0,00;0,00;6,00
2020-11-08;20,00;7,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;6,00;0,00;0,00;0,00;6,67;38,89;6,67;0,00;0,00;13,00;6,00;6,00
2020-11-15;32,00;39,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;6,62;33,10;0,00;6,00;0,00;0,00;6,00
2020-11-22;19,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;6,00;0,00;19,00;6,71;6,71;0,00;0,00;6,00;6,00
2020-11-29;6,00;0,00;13,00;6,00;0,00;0,00;0,00;7,00;0,00;6,00;0,00;0,00;0,00;0,00;17,00;18,00;6,00;0,00;0,00;0,00;0,00
2020-12-06;33,00;19,00;6,00;6,00;13,00;0,00;6,00;33,00;0,00;6,00;0,00;0,00;0,00;0,00;13,20;26,40;0,00;0,00;0,00;0,00;0,00
2020-12-13;7,00;7,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;13,00;0,00;0,00;0,00;0,00;14,00;7,00;7,00;7,00;0,00;0,00;0,00
2020-12-20;28,00;7,00;35,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;6,46;14,00;7,54;0,00;0,00;14,00;7,00
2020-12-27;14,00;0,00;20,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;36,17;0,00;0,00;0,00;0,00;0,00
