Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-09-08;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00;13,00;30,00;4,00;8,00;17,00;0,00;4,00;0,00;0,00;8,00
2019-09-15;40,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;21,00;8,00;26,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;13,00;34,00;4,00;0,00;30,00;4,00;0,00;13,00;4,00;13,00
2019-09-22;18,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;34,00;0,00;0,00;0,00;13,00;4,00;4,00;4,00;4,00;30,00;4,00;8,00;8,00;4,00;8,00;4,00;4,00;13,00
2019-09-29;31,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;8,00;0,00;8,00;0,00;4,00;8,00;13,00;4,00;0,00;8,00;13,00;17,00;8,00;4,00;8,00;0,00;8,00;8,00;0,00;0,00
2019-10-06;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;17,00;0,00;9,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;17,00;17,00;4,00;4,00;21,00;0,00;8,00;13,00;0,00;0,00
2019-10-13;37,00;0,00;0,00;4,00;9,00;4,00;4,00;0,00;9,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;4,00;4,00;0,00;17,00;0,00;22,00;4,00;4,00;0,00;9,00;4,00;4,00;4,00;26,00;22,00;4,00;0,00;22,00;9,00;4,00;9,00;4,00;9,00
2019-10-20;51,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;16,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;12,00;0,00;8,00;0,00;0,00;0,00;4,00;12,00;4,00;0,00;16,00;12,00;8,00;0,00;0,00;0,00;8,00;4,00;0,00;8,00
2019-10-27;36,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;13,00;0,00;26,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;21,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00
2019-11-03;43,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;12,00;0,00;4,00;0,00;8,00;4,00;4,00;0,00;8,00;21,00;4,00;0,00;4,00;4,00;16,00;4,00;0,00;4,00
2019-11-10;43,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;8,00;4,00;0,00;8,00;0,00;37,00;0,00;0,00;0,00;12,00;0,00;12,00;4,00;12,00;45,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00
2019-11-17;43,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;17,00;8,00;0,00;0,00;4,00;8,00;16,00;0,00;4,00;37,00;4,00;0,00;29,00;0,00;8,00;4,00;0,00;4,00
2019-11-24;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;16,00;0,00;4,00;0,00;12,00;24,00;8,00;4,00;20,00;0,00;8,00;4,00;4,00;0,00
2019-12-01;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;29,00;0,00;4,00;4,00;8,00;12,00;4,00;0,00;8,00;41,00;8,00;4,00;20,00;8,00;4,00;12,00;4,00;0,00
2019-12-08;27,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;17,00;0,00;0,00;0,00;0,00;4,00;0,00;17,00;8,00;0,00;8,00;4,00;17,00;4,00;4,00;17,00;34,00;0,00;4,00;4,00;4,00;8,00;8,00;0,00;8,00
