Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2019-09-08;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;15,00;4,00;2,00;2,00;0,00;0,00;0,00;0,00;4,00;9,00;2,00;0,00;19,00;19,00;9,00;36,00;7,00;2,00;4,00;22,00;217,50;0,00;0,00;11,25
2019-09-15;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;2,00;6,00;7,00;0,00;6,00;0,00;2,00;6,00;13,00;2,00;0,00;18,00;8,00;15,00;38,00;2,00;2,00;2,00;30,00;140,00;10,50;0,00;10,50
2019-09-22;28,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;6,00;0,00;2,00;0,00;0,00;4,00;6,00;7,00;4,00;0,00;33,00;9,00;6,00;44,00;6,00;2,00;0,00;15,00;161,00;3,50;0,00;7,00
2019-09-29;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;7,00;4,00;6,00;2,00;4,00;2,00;0,00;0,00;2,00;4,00;0,00;0,00;12,00;19,00;11,00;15,00;9,00;2,00;4,00;9,00;124,67;7,56;0,00;3,78
2019-10-06;34,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;8,00;2,00;4,00;2,00;0,00;4,00;0,00;4,00;4,00;7,00;4,00;0,00;18,00;15,00;6,00;36,00;8,00;0,00;4,00;17,00;117,11;3,78;0,00;7,56
2019-10-13;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;8,00;2,00;12,00;2,00;2,00;2,00;0,00;0,00;4,00;2,00;0,00;0,00;21,00;16,00;10,00;43,00;2,00;0,00;6,00;4,00;106,67;7,11;0,00;14,22
2019-10-20;24,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;2,00;7,00;4,00;2,00;0,00;0,00;2,00;4,00;4,00;6,00;2,00;13,00;17,00;5,00;24,00;7,00;0,00;4,00;11,00;61,71;3,43;0,00;6,86
2019-10-27;13,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;4,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;19,00;7,00;5,00;24,00;4,00;5,00;0,00;5,00;42,25;9,75;0,00;9,75
2019-11-03;21,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;6,00;2,00;2,00;5,00;0,00;0,00;0,00;0,00;6,00;2,00;4,00;0,00;10,00;28,00;13,00;22,00;2,00;0,00;5,00;5,00;59,50;10,50;0,00;10,50
2019-11-10;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;4,00;4,00;4,00;0,00;0,00;2,00;0,00;0,00;4,00;5,00;0,00;15,00;13,00;5,00;32,00;4,00;0,00;4,00;13,00;60,80;7,60;0,00;7,60
2019-11-17;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;4,00;12,00;18,00;5,00;25,00;2,00;0,00;4,00;0,00;82,50;3,75;0,00;7,50
2019-11-24;18,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;11,00;2,00;2,00;3,00;0,00;0,00;0,00;0,00;2,00;3,00;2,00;0,00;4,00;10,00;2,00;23,00;4,00;3,00;0,00;5,00;32,40;3,60;0,00;14,40
2019-12-01;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;4,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;9,00;9,00;2,00;13,00;0,00;4,00;2,00;4,00;48,00;3,00;0,00;6,00
2019-12-08;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;2,00;2,00;7,00;0,00;0,00;2,00;4,00;5,00;5,00;0,00;17,00;4,00;2,00;35,00;5,00;0,00;0,00;5,00;44,57;1,86;0,00;3,71
