Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-09-08;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,69;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,38;0,00;9,38;9,38;0,00;9,38;53,13;18,75;10,00;0,00;35,00;0,00;31,25;37,50;0,00;37,50
2019-09-15;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;42,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;43,27;0,00;9,27;0,00;24,73;0,00;61,82;34,00;19,43;0,00;97,14;0,00;13,60;13,60;6,80;40,80
2019-09-22;41,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;16,77;41,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,79;23,43;8,79;0,00;41,00;17,57;0,00;9,11;41,00;9,11;41,00;27,33;0,00;54,67
2019-09-29;25,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;7,69;32,69;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;16,00;8,00;0,00;8,00;0,00;8,00;0,00;78,13;0,00;9,38;18,75;9,38;0,00;68,75;18,75;10,00;0,00;35,00;0,00;43,75;12,50;6,25;37,50
2019-10-06;33,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;23,83;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;24,00;9,00;24,00;0,00;24,00;0,00;33,00;18,00;33,00;0,00;61,29;0,00;33,00;46,20;0,00;59,40
2019-10-13;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;2,00;2,00;11,00;0,00;8,00;8,00;0,00;8,00
2019-10-20;25,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;7,69;17,31;0,00;0,00;16,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;8,00;50,00;0,00;25,00;34,38;18,75;0,00;15,63;9,38;25,00;0,00;45,00;0,00;31,25;37,50;0,00;31,25
2019-10-27;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;32,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;8,00;0,00;0,00;8,00;15,00;0,00;0,00;33,00;42,00;0,00;81,00;15,00;0,00;14,40;86,40;0,00;8,00;40,00;0,00;64,00
2019-11-03;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42,71;0,00;7,76;24,00;8,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;9,00;0,00;15,00;33,00;42,00;0,00;57,00;0,00;66,00;9,43;66,00;9,43;33,00;26,40;13,20;33,00
2019-11-10;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,47;0,00;0,00;24,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;8,00;0,00;0,00;0,00;0,00;42,00;0,00;15,00;24,00;9,00;0,00;105,00;15,00;14,14;9,43;117,86;0,00;39,60;26,40;0,00;33,00
2019-11-17;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,69;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;16,00;8,00;0,00;0,00;8,00;0,00;15,63;0,00;15,63;18,75;9,38;0,00;84,38;9,38;70,00;0,00;35,00;0,00;43,75;37,50;0,00;81,25
2019-11-24;16,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;24,00;0,00;41,60;0,00;9,60;0,00;9,60;0,00;16,00;32,00;0,00;0,00;53,33;0,00;56,00;40,00;24,00;24,00
